.57,
0.39,
0.29,
0.21,
0.08,
0.00,
0.00,
0.00,
0.07,
0.14,
0.26,
0.35,
0.44,
0.63,
0.81,
1.05,
1.36,
1.72,
2.08,
2.38,
2.61,
2.83,
3.13,
3.47,
3.74,
3.98,
4.28,
4.51,
4.72,
4.82,
4.90,
5.00,
5.00,
5.00,
5.00,
5.00,
5.00,
4.94,
4.83,
4.74,
4.57,
4.41,
4.18,
3.89,
3.53,
3.19,
2.86,
2.62,
2.40,
2.13,
1.77,
1.48,
1.24,
0.97,
0.71,
0.48,
0.34,
0.25,
0.15,
0.03,
0.00,
0.00,
0.00,
0.06,
0.17,
0.27,
0.38,
0.50,
0.66,
0.86,
1.11,
1.45,
1.79,
2.15,
2.43,
2.65,
2.90,
3.23,
3.53,
3.79,
4.05,
4.30,
4.55,
0.00,
-1
,
-1
,
0.39,
0.59,
0.75,
1.01,
1.31,
1.66,
2.01,
2.31,
2.54,
2.79,
3.09,
3.41,
3.69,
3.93,
4.21,
4.46,
4.65,
4.77,
4.84,
4.97,
5.00,
5.00,
5.00,
5.00,
5.00,
4.90,
4.81,
4.70,
4.56,
4.39,
4.16,
3.87,
3.53,
3.18,
2.84,
2.61,
2.37,
2.10,
1.74,
1.46,
1.21,
0.93,
0.68,
0.45,
0.30,
0.22,
0.12,
0.00,
0.00,
0.00,
0.00,
0.02,
0.12,
0.23,
0.31,
0.44,
0.61,
0.84,
1.08,
1.42,
1.74,
2.09,
2.37,
2.61,
2.84,
3.15,
3.48,
3.73,
4.01,
4.27,
4.50,
4.68,
4.78,
4.88,
4.99,
5.00,
5.00,
5.00,
5.00,
4.99,
4.88,
4.79,
4.67,
4.51,
4.35,
4.09,
3.77,
3.45,
3.10,
2.79,
2.57,
2.32,
2.02,
1.68,
1.36,
1.12,
0.86,
0.61,
0.40,
0.00,
-1
,
-1
,
4.67,
4.53,
4.33,
4.02,
3.68,
3.33,
3.01,
2.77,
2.53,
2.25,
1.92,
1.61,
1.36,
1.09,
0.82,
0.59,
0.45,
0.37,
0.28,
0.15,
0.04,
0.01,
0.04,
0.14,
0.25,
0.34,
0.43,
0.58,
0.73,
0.93,
1.20,
1.51,
1.85,
2.22,
